,City,Year,Company,Model,Variant,KM_Driven,No._of_Owners,Fuel_Type,Calculated_Score,Original_Price,Discount,On_Road_Price,Ex_Showroom_Price
1794,Noida,2021,MARUTI,CELERIO,ZXI AMT,9278,1,Petrol,367000,607599,23900,583699,574011
1795,Gurgaon,2014,HYUNDAI,I20,MAGNA O 1.2,49540,1,Petrol,181000,413249,0,413249,403561
1796,New Delhi,2019,TATA,TIAGO,XZ 1.2 REVOTRON,7831,1,Petrol,367000,520699,0,520699,506801
1797,Ghaziabad,2012,MARUTI,ALTO K10,LXI,86746,2,Petrol,140000,195599,8100,187499,177811
1798,Noida,2021,MAHINDRA,XUV500,W9 AT,21875,1,Diesel,715000,1883699,253400,1630299,1610892
1799,New Delhi,2018,MARUTI,CELERIO,VXI AMT,11190,1,Petrol,169000,446899,0,446899,434357
1800,New Delhi,2018,RENAULT,KWID,RXL,35949,1,Petrol,169000,325499,5000,320499,307957
1801,New Delhi,2015,MARUTI,WAGON R 1.0,VXI,32679,1,Petrol,140000,362199,5000,357199,344657
1802,New Delhi,2014,MARUTI,SWIFT DZIRE,LXI 1.2 BS IV,58920,1,Petrol,181000,387599,0,387599,377911
1803,New Delhi,2019,MARUTI,EECO,7 STR,22008,1,Petrol,367000,441499,0,441499,431811
1804,New Delhi,2016,MARUTI,SWIFT DZIRE,ZXI 1.2 BS IV,38655,1,Petrol,181000,521999,8100,513899,500001
1805,New Delhi,2018,TOYOTA,FORTUNER,2.8 4x2 AT,85472,1,Diesel,715000,2890599,32800,2857799,2845611
1806,Gurgaon,2020,HYUNDAI,VENUE,1.0L Turbo GDI SX MT,30227,2,Petrol,715000,922499,77900,844599,832057
1807,Gurgaon,2019,MARUTI,ALTO,LXI,18474,1,Petrol,474000,342599,0,342599,330057
1808,New Delhi,2016,MARUTI,ALTO 800,LXI CNG,32272,1,Petrol + CNG,181000,327999,0,327999,315457
1809,Noida,2019,MARUTI,ERTIGA,ZXI Plus SHVS,55939,1,Petrol,507000,955299,10600,944699,930801
1810,New Delhi,2016,MARUTI,SWIFT,LXI OPT,23487,1,Petrol,181000,408199,0,408199,394301
1811,New Delhi,2019,RENAULT,TRIBER,RXE MT PETROL,12365,1,Petrol,367000,509099,0,509099,496911
1812,Noida,2021,KIA,SELTOS,HTE 1.5 MT DIESEL,29792,1,Diesel,715000,1143499,106200,1037299,1025111
1813,Ghaziabad,2018,RENAULT,KWID,RXT,15076,1,Petrol,169000,368899,0,368899,359211
1814,Ghaziabad,2018,MARUTI,SWIFT,ZXI+,49987,1,Petrol + CNG,507000,687299,0,687299,673401
1815,Gurgaon,2011,HYUNDAI,I10,MAGNA 1.2 KAPPA2,37493,2,Petrol,72000,242399,13300,229099,215201
1816,Gurgaon,2015,MARUTI,SWIFT DZIRE,LXI OPT,57965,1,Petrol,181000,451799,0,451799,437901
1817,Gurgaon,2016,MARUTI,BALENO,DELTA PETROL 1.2,57529,2,Petrol,181000,472499,38200,434299,420401
