,Name,Company,City,Year,KM_Driven,No._of_Owners,Fuel_Type,Calculated_Score,On_Road_Price
1409,MARUTIWAGON R 1.0,MARUTI,Gurgaon,2014,66606,2,Petrol,140000,319999
1410,MARUTIALTO 800,MARUTI,New Delhi,2017,45286,1,Petrol,169000,317699
1411,HYUNDAICRETA,HYUNDAI,New Delhi,2018,64753,1,Petrol,715000,886099
1412,MARUTIALTO 800,MARUTI,New Delhi,2018,11496,1,Petrol,169000,342599
1413,MARUTIS PRESSO,MARUTI,Gurgaon,2021,3582,1,Petrol,474000,492199
1414,MARUTIALTO,MARUTI,New Delhi,2021,30144,1,Petrol + CNG,507000,480599
1415,VOLKSWAGENVENTO,VOLKSWAGEN,New Delhi,2021,13265,1,Petrol,507000,843399
1416,TATAHARRIER,TATA,Gurgaon,2020,28625,2,Diesel,474000,1483799
1417,MAHINDRAXUV 3OO,MAHINDRA,New Delhi,2019,84472,1,Diesel,715000,869999
1418,MARUTISWIFT,MARUTI,Gurgaon,2015,41311,2,Petrol,181000,448699
1419,HYUNDAIELITE I20,HYUNDAI,New Delhi,2019,33034,1,Petrol,507000,651199
1420,HYUNDAIGRAND I10,HYUNDAI,Ghaziabad,2017,32283,1,Petrol,169000,470799
1421,HYUNDAIGRAND I10,HYUNDAI,Gurgaon,2016,62890,1,Petrol,102000,474999
1422,HYUNDAIELITE I20,HYUNDAI,New Delhi,2017,89784,1,Petrol + CNG,507000,647299
1423,TATATIGOR,TATA,New Delhi,2017,66305,1,Petrol + CNG,507000,494699
1424,HYUNDAICRETA,HYUNDAI,New Delhi,2016,19702,2,Petrol,181000,875699
1425,MARUTIBALENO,MARUTI,Gurgaon,2019,25853,1,Petrol,367000,633899
1426,HYUNDAIELITE I20,HYUNDAI,Noida,2017,84581,1,Petrol,507000,570699
1427,MAHINDRATHAR,MAHINDRA,Gurgaon,2022,4460,1,Petrol,849000,1536099
1428,MARUTIALTO K10,MARUTI,Gurgaon,2018,42319,1,Petrol,315000,348599
1429,HONDABRIO,HONDA,Gurgaon,2012,42401,1,Petrol,140000,303799
1430,MARUTIWAGON R 1.0,MARUTI,New Delhi,2018,43404,1,Petrol,507000,426799
1431,MARUTIALTO 800,MARUTI,New Delhi,2018,20686,1,Petrol,169000,330699
1432,VOLKSWAGENVENTO,VOLKSWAGEN,New Delhi,2021,16336,1,Petrol,507000,987299
1433,SKODARAPID,SKODA,Gurgaon,2021,10439,1,Petrol,367000,1185549
1434,MARUTIDZIRE,MARUTI,New Delhi,2017,49507,2,Petrol,169000,554199
1435,MARUTIBALENO,MARUTI,New Delhi,2018,63631,1,Petrol,715000,562199
1436,MARUTICIAZ,MARUTI,New Delhi,2015,70882,1,Petrol,102000,572999
1437,MARUTIS PRESSO,MARUTI,New Delhi,2020,64776,1,Petrol + CNG,507000,415699
1438,MARUTIALTO 800,MARUTI,Gurgaon,2018,18657,1,Petrol,169000,334199
1439,HYUNDAIGRAND I10,HYUNDAI,Gurgaon,2019,43686,1,Petrol + CNG,507000,520599
1440,MARUTIBALENO,MARUTI,New Delhi,2016,48599,1,Petrol,181000,522119
1441,HYUNDAIGRAND I10,HYUNDAI,Noida,2018,31410,1,Petrol,169000,497499
1442,MARUTIVITARA BREZZA,MARUTI,New Delhi,2020,28347,1,Petrol,715000,953399
1443,MARUTICELERIO,MARUTI,New Delhi,2018,57050,2,Petrol + CNG,507000,451899
1444,HONDACITY,HONDA,Gurgaon,2021,8173,1,Petrol,474000,1495149
1445,MARUTIALTO 800,MARUTI,Gurgaon,2018,32198,1,Petrol,169000,330799
1446,RENAULTDUSTER,RENAULT,Ghaziabad,2018,95090,1,Petrol + CNG,507000,638399
1447,HYUNDAICRETA,HYUNDAI,New Delhi,2018,57801,2,Diesel,315000,1222199
1448,HYUNDAICRETA,HYUNDAI,Noida,2018,60418,2,Diesel,918000,949699
1449,HONDACITY,HONDA,Gurgaon,2017,27601,1,Petrol,169000,1034199
1450,MARUTIBALENO,MARUTI,New Delhi,2019,46520,1,Petrol,507000,606199
1451,HONDAWR-V,HONDA,Gurgaon,2018,38264,2,Petrol,370000,707799
1452,MARUTIBALENO,MARUTI,New Delhi,2016,50160,1,Petrol,181000,511599
1453,RENAULTDUSTER,RENAULT,New Delhi,2021,10821,1,Petrol,715000,1408399
1454,HYUNDAINEW SANTRO,HYUNDAI,New Delhi,2019,68331,1,Petrol,507000,468199
1455,HYUNDAIGRAND I10,HYUNDAI,New Delhi,2017,18042,1,Petrol,169000,479899
1456,RENAULTKWID,RENAULT,New Delhi,2019,7124,1,Petrol,468000,388499
1457,MARUTIBALENO,MARUTI,Noida,2020,45848,1,Petrol,507000,654999
1458,FORDECOSPORT,FORD,Gurgaon,2017,64882,1,Petrol,507000,592399
1459,MARUTIERTIGA,MARUTI,New Delhi,2019,20707,1,Petrol,474000,993099
1460,HYUNDAIELITE I20,HYUNDAI,Noida,2017,85249,2,Petrol,507000,547699
1461,HYUNDAIGRAND I10,HYUNDAI,Gurgaon,2014,47940,1,Petrol,181000,429699
1462,MARUTIDZIRE,MARUTI,Noida,2017,24577,1,Diesel,169000,689599
1463,MARUTIALTO K10,MARUTI,New Delhi,2018,14674,2,Petrol,468000,389699
1464,RENAULTDUSTER,RENAULT,Gurgaon,2022,7069,1,Petrol,474000,1311999
1465,MARUTIALTO K10,MARUTI,Gurgaon,2015,74103,1,Petrol + CNG,468000,308899
1466,MARUTIALTO,MARUTI,Ghaziabad,2019,23009,1,Petrol,367000,398699
1467,HYUNDAIGRAND I10,HYUNDAI,Gurgaon,2016,47947,1,Petrol,181000,432799
1468,MARUTIBALENO,MARUTI,New Delhi,2019,43970,1,Petrol,507000,616499
1469,MARUTIWAGON R 1.0,MARUTI,New Delhi,2018,20567,1,Petrol,169000,444999
1470,HYUNDAIGRAND I10 NIOS,HYUNDAI,New Delhi,2021,8463,1,Petrol + CNG,367000,785899
1471,FORDECOSPORT,FORD,New Delhi,2017,107067,1,Diesel,507000,506599
1472,MARUTIBALENO,MARUTI,New Delhi,2021,9468,1,Petrol,474000,948799
1473,MARUTIALTO 800,MARUTI,New Delhi,2017,20364,1,Petrol,169000,308299
1474,MARUTIBALENO,MARUTI,Gurgaon,2016,22237,1,Petrol,181000,545999
1475,HYUNDAIGRAND I10,HYUNDAI,Gurgaon,2017,18327,1,Petrol,370000,477220
1476,HYUNDAICRETA,HYUNDAI,Gurgaon,2018,39372,1,Diesel,370000,1265799
1477,MARUTIBALENO,MARUTI,Gurgaon,2021,14602,1,Petrol,715000,917399
1478,MARUTIBALENO,MARUTI,New Delhi,2016,51070,1,Petrol,181000,516499
1479,HYUNDAIGRAND I10,HYUNDAI,Noida,2014,66283,1,Petrol,181000,373199
1480,HONDAAMAZE,HONDA,New Delhi,2018,70270,2,Diesel,507000,638799
1481,MARUTISWIFT,MARUTI,New Delhi,2015,60643,1,Petrol,520000,411599
1482,MARUTISWIFT,MARUTI,Noida,2018,33878,1,Petrol,169000,545299
1483,MARUTIIGNIS,MARUTI,Gurgaon,2018,29535,1,Petrol,169000,482099
1484,MARUTIIGNIS,MARUTI,Noida,2018,34337,1,Petrol,169000,458199
1485,MARUTIS PRESSO,MARUTI,Ghaziabad,2020,13523,2,Petrol,367000,437699
1486,SKODARAPID,SKODA,New Delhi,2020,18906,1,Petrol,367000,946699
1487,HYUNDAIVENUE,HYUNDAI,Noida,2021,6005,1,Petrol,367000,934399
1488,MAHINDRATHAR,MAHINDRA,New Delhi,2021,42608,1,Diesel,715000,1550899
1489,HYUNDAICRETA,HYUNDAI,Gurgaon,2019,71968,1,Diesel,715000,896699
1490,HONDAWR-V,HONDA,New Delhi,2017,59583,1,Petrol,507000,642599
1491,MARUTIBALENO,MARUTI,Noida,2019,38042,1,Petrol,715000,562199
1492,MAHINDRASCORPIO,MAHINDRA,Noida,2018,42679,1,Diesel,715000,981899
1493,MARUTIALTO 800,MARUTI,New Delhi,2018,22060,1,Petrol,169000,342599
1494,HYUNDAIELITE I20,HYUNDAI,Noida,2017,47168,1,Petrol,169000,587899
1495,MARUTIALTO K10,MARUTI,New Delhi,2017,67975,1,Petrol,468000,308299
1496,MARUTICELERIO,MARUTI,New Delhi,2018,99421,1,Petrol + CNG,507000,475199
1497,MARUTISWIFT,MARUTI,Gurgaon,2014,35393,1,Petrol,181000,451199
1498,TATANEXON,TATA,New Delhi,2022,10412,1,Diesel,474000,1207299
1499,MARUTIALTO,MARUTI,Gurgaon,2021,21829,1,Petrol + CNG,507000,487099
1500,MARUTIVITARA BREZZA,MARUTI,New Delhi,2019,31588,1,Diesel,715000,933499
