,Name,Company,City,Year,KM_Driven,No._of_Owners,Fuel_Type,Calculated_Score,On_Road_Price
2817,HYUNDAII20,HYUNDAI,Bangalore,2010,56929,2,Petrol,507000,351699
2818,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2019,4190,1,Petrol,734000,592099
2819,TOYOTAETIOS LIVA,TOYOTA,Bangalore,2013,65941,1,Petrol,362000,494499
2820,HYUNDAII10,HYUNDAI,Bangalore,2010,95482,1,Petrol,507000,291799
2821,HYUNDAIEON,HYUNDAI,Bangalore,2014,28617,2,Petrol,280000,291099
2822,KIASELTOS,KIA,Bangalore,2019,11689,1,Petrol,734000,1581799
2823,MARUTISWIFT,MARUTI,Bangalore,2018,30388,2,Diesel,338000,724699
2824,MARUTISWIFT,MARUTI,Bangalore,2012,85438,1,Petrol,362000,462199
2825,MARUTINEW  WAGON-R,MARUTI,Bangalore,2021,12970,1,Petrol,734000,601799
2826,TOYOTAURBAN CRUISER,TOYOTA,Bangalore,2021,10074,1,Petrol,734000,1081799
2827,RENAULTDUSTER,RENAULT,Bangalore,2015,42983,1,Diesel,362000,686699
2828,HYUNDAII10,HYUNDAI,Bangalore,2015,27690,2,Petrol,362000,381899
2829,MARUTIVITARA BREZZA,MARUTI,Bangalore,2021,12555,1,Petrol,715000,1052699
2830,MARUTISWIFT DZIRE,MARUTI,Bangalore,2015,37712,1,Diesel,362000,725399
2831,MARUTISWIFT,MARUTI,Bangalore,2021,10263,1,Petrol,948000,796499
2832,MARUTICELERIO,MARUTI,Bangalore,2017,13268,2,Petrol,338000,534099
2833,MARUTIVITARA BREZZA,MARUTI,Bangalore,2020,14630,1,Petrol,734000,1202999
2834,MARUTISWIFT,MARUTI,Bangalore,2017,31806,1,Diesel,740000,651599
2835,HYUNDAIVENUE,HYUNDAI,Bangalore,2021,13994,1,Petrol,948000,867599
2836,HYUNDAINEW SANTRO,HYUNDAI,Bangalore,2020,1861,1,Petrol,734000,616899
2837,HYUNDAICRETA,HYUNDAI,Bangalore,2020,24097,1,Diesel,715000,1257299
2838,MARUTISWIFT,MARUTI,Bangalore,2012,97425,1,Diesel,362000,437399
2839,MARUTIRITZ,MARUTI,Bangalore,2013,85563,2,Diesel,362000,452999
2840,MARUTISWIFT,MARUTI,Bangalore,2021,39085,1,Petrol,507000,765199
2841,FORDECOSPORT,FORD,Bangalore,2014,54753,2,Diesel,362000,626399
2842,MARUTIRITZ,MARUTI,Bangalore,2010,62308,2,Petrol,507000,307199
2843,HYUNDAICRETA,HYUNDAI,Bangalore,2022,9548,1,Diesel,948000,1926799
2844,TOYOTAURBAN CRUISER,TOYOTA,Bangalore,2021,11821,1,Petrol,715000,1107899
2845,MARUTISWIFT DZIRE,MARUTI,Bangalore,2016,61599,1,Petrol,204000,650999
2846,HONDABRIO,HONDA,Bangalore,2015,45914,1,Petrol,362000,459599
2847,RENAULTDUSTER,RENAULT,Bangalore,2019,22797,1,Diesel,948000,1046299
2848,HYUNDAIGRAND I10 NIOS,HYUNDAI,Bangalore,2021,2135,1,Petrol,948000,753999
2849,TOYOTAURBAN CRUISER,TOYOTA,Bangalore,2021,11352,1,Petrol,507000,1100599
2850,MARUTIRITZ,MARUTI,Bangalore,2013,66671,1,Petrol,362000,411599
2851,MARUTIALTO K10,MARUTI,Bangalore,2012,30579,1,Petrol,362000,309999
2852,HYUNDAICRETA,HYUNDAI,Bangalore,2016,37490,1,Diesel,362000,1176299
2853,MAHINDRAXUV500,MAHINDRA,Bangalore,2018,41028,1,Diesel,630000,1757699
2854,VOLKSWAGENPOLO,VOLKSWAGEN,Bangalore,2015,92471,2,Petrol,204000,568699
2855,HYUNDAII20,HYUNDAI,Bangalore,2011,65247,3,Petrol,507000,338499
2856,HYUNDAICRETA,HYUNDAI,Bangalore,2016,33615,2,Diesel,1040000,1193999
2857,KIASONET,KIA,Bangalore,2020,10806,1,Petrol,734000,1205699
2858,MARUTISWIFT DZIRE,MARUTI,Bangalore,2016,94477,1,Diesel,715000,645599
2859,HYUNDAII20,HYUNDAI,Bangalore,2011,62119,2,Petrol,507000,365399
2860,MARUTICELERIO,MARUTI,Bangalore,2018,16726,2,Petrol,338000,534099
2861,MARUTIBALENO,MARUTI,Bangalore,2022,4902,1,Petrol,734000,850499
2862,HYUNDAII10,HYUNDAI,Bangalore,2012,69922,1,Petrol,362000,361499
2863,MARUTISWIFT,MARUTI,Bangalore,2015,32667,1,Petrol,1040000,529499
2864,TATANEXON,TATA,Bangalore,2019,11485,1,Diesel,734000,1070549
2865,MARUTISWIFT,MARUTI,Bangalore,2018,19525,1,Petrol,1468000,659899
2866,MARUTIEECO,MARUTI,Bangalore,2021,6852,1,Petrol,734000,539299
2867,HYUNDAIELITE I20,HYUNDAI,Bangalore,2016,42917,1,Petrol,1040000,600299
2868,HYUNDAII10,HYUNDAI,Bangalore,2011,44721,2,Petrol,507000,333999
2869,HYUNDAIVERNA,HYUNDAI,Bangalore,2013,50715,2,Petrol,362000,566099
2870,KIASONET,KIA,Bangalore,2020,13180,1,Petrol,948000,1283899
2871,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2015,20854,2,Petrol,1040000,456099
2872,MAHINDRAXUV500,MAHINDRA,Bangalore,2016,51926,2,Diesel,1040000,1135299
2873,MARUTIEECO,MARUTI,Bangalore,2021,7301,1,Petrol,734000,548199
2874,HYUNDAIAURA,HYUNDAI,Bangalore,2020,23540,1,Petrol,507000,810799
2875,MARUTISWIFT,MARUTI,Bangalore,2017,20367,1,Petrol,338000,642799
2876,MARUTISWIFT,MARUTI,Bangalore,2019,61716,1,Diesel,715000,860499
2877,HYUNDAII20,HYUNDAI,Bangalore,2010,78373,2,Petrol,507000,337499
2878,HYUNDAIELITE I20,HYUNDAI,Bangalore,2020,22162,2,Petrol,715000,773899
2879,SKODARAPID,SKODA,Bangalore,2012,49860,2,Petrol,362000,495999
2880,TATATIAGO,TATA,Bangalore,2019,14792,1,Petrol,734000,542299
2881,MARUTICELERIO,MARUTI,Bangalore,2018,27802,2,Petrol,338000,493799
2882,KIASELTOS,KIA,Bangalore,2020,23155,1,Petrol,715000,1246949
2883,HYUNDAIEON,HYUNDAI,Bangalore,2012,58741,1,Petrol,362000,268199
2884,RENAULTKWID,RENAULT,Bangalore,2018,18887,2,Petrol,338000,383999
2885,MARUTIEECO,MARUTI,Bangalore,2021,15946,1,Petrol,468000,551799
2886,HONDABRIO,HONDA,Bangalore,2012,72063,2,Petrol,362000,341399
2887,MARUTISWIFT,MARUTI,Bangalore,2019,17248,1,Petrol,734000,743099
2888,MARUTISWIFT DZIRE,MARUTI,Bangalore,2014,50960,1,Petrol,1040000,548799
2889,MARUTIVITARA BREZZA,MARUTI,Bangalore,2017,36290,2,Diesel,740000,885899
2890,MARUTISWIFT,MARUTI,Bangalore,2016,31126,2,Petrol,1040000,552599
2891,TATATIAGO,TATA,Bangalore,2019,18177,1,Petrol,734000,604799
2892,MAHINDRAXUV500,MAHINDRA,Bangalore,2019,66202,1,Diesel,715000,1494799
2893,HYUNDAII10,HYUNDAI,Bangalore,2012,54774,1,Petrol,362000,374599
2894,RENAULTTRIBER,RENAULT,Bangalore,2021,5948,2,Petrol,734000,821399
2895,MARUTISWIFT,MARUTI,Bangalore,2014,43210,1,Diesel,362000,607399
2896,TATATIAGO,TATA,Bangalore,2019,14752,2,Petrol,338000,527699
2897,MARUTIBALENO,MARUTI,Bangalore,2021,9521,1,Petrol,734000,951599
2898,HYUNDAIEON,HYUNDAI,Bangalore,2015,16902,1,Petrol,362000,340899
2899,HONDACITY,HONDA,Bangalore,2012,59732,2,Petrol,362000,515699
2900,HYUNDAICRETA,HYUNDAI,Bangalore,2019,17949,1,Petrol,734000,1416299
2901,HONDACITY,HONDA,Bangalore,2020,13296,2,Petrol,734000,1349799
2902,HYUNDAII10,HYUNDAI,Bangalore,2010,80684,2,Petrol,507000,310999
2903,HYUNDAIEON,HYUNDAI,Bangalore,2012,64391,2,Petrol,362000,276499
2904,RENAULTKWID,RENAULT,Bangalore,2019,15966,2,Petrol,734000,439499
2905,HYUNDAIELITE I20,HYUNDAI,Bangalore,2020,15509,2,Petrol,734000,826399
2906,HONDABRIO,HONDA,Bangalore,2012,69253,1,Petrol,362000,371099
2907,KIASONET,KIA,Bangalore,2020,15149,1,Petrol,948000,1304299
2908,VOLKSWAGENPOLO,VOLKSWAGEN,Bangalore,2015,56312,1,Petrol,362000,651799
2909,MARUTICELERIO,MARUTI,Bangalore,2015,46601,2,Petrol,280000,453799
2910,TATAALTROZ,TATA,Bangalore,2021,5854,1,Petrol,734000,887399
2911,MARUTICELERIO,MARUTI,Bangalore,2016,53135,1,Petrol,362000,484199
2912,TOYOTAETIOS LIVA,TOYOTA,Bangalore,2017,33893,3,Petrol,338000,589699
2913,MARUTISWIFT,MARUTI,Bangalore,2018,87414,1,Diesel,715000,757899
2914,MARUTIEECO,MARUTI,Bangalore,2021,17660,1,Petrol,507000,536799
2915,RENAULTDUSTER,RENAULT,Bangalore,2017,33220,1,Diesel,338000,1022099
2916,MARUTISWIFT,MARUTI,Bangalore,2015,42708,1,Petrol,362000,523199
2917,HONDABRIO,HONDA,Bangalore,2012,37409,2,Petrol,362000,379299
2918,KIASONET,KIA,Bangalore,2020,12985,1,Petrol,734000,1214699
2919,MARUTIALTO 800,MARUTI,Bangalore,2013,75267,1,Petrol,1040000,286699
2920,HONDAAMAZE,HONDA,Bangalore,2019,20620,2,Petrol,1698000,846579
2921,HONDAAMAZE,HONDA,Bangalore,2015,34051,1,Petrol,362000,513699
2922,SKODARAPID,SKODA,Bangalore,2014,51091,1,Diesel,362000,517499
2923,MAHINDRASCORPIO,MAHINDRA,Bangalore,2014,79924,2,Diesel,362000,989299
2924,KIASONET,KIA,Bangalore,2020,15228,2,Petrol,948000,1302199
2925,VOLKSWAGENPOLO,VOLKSWAGEN,Bangalore,2018,64517,1,Petrol,507000,649899
2926,MARUTIALTO K10,MARUTI,Bangalore,2018,6338,1,Petrol,338000,435499
2927,MAHINDRAXUV500,MAHINDRA,Bangalore,2018,43791,1,Diesel,507000,1328999
2928,MARUTISWIFT,MARUTI,Bangalore,2016,47034,1,Diesel,362000,652899
2929,MARUTISWIFT,MARUTI,Bangalore,2014,71013,1,Diesel,1040000,658399
2930,MARUTIWAGON R 1.0,MARUTI,Bangalore,2015,21575,1,Petrol,362000,427299
2931,HONDAAMAZE,HONDA,Bangalore,2014,76347,2,Petrol,362000,474999
2932,MARUTISWIFT DZIRE,MARUTI,Bangalore,2013,84755,2,Petrol,1040000,545299
2933,RENAULTKWID,RENAULT,Bangalore,2016,17147,1,Petrol,362000,378299
2934,RENAULTDUSTER,RENAULT,Bangalore,2021,17588,1,Petrol,507000,1166799
2935,HYUNDAICRETA,HYUNDAI,Bangalore,2016,83706,2,Petrol,644000,802399
2936,MARUTIRITZ,MARUTI,Bangalore,2012,55601,1,Petrol,1040000,364699
2937,MARUTISWIFT,MARUTI,Bangalore,2013,52412,1,Diesel,362000,580799
2938,MARUTISWIFT,MARUTI,Bangalore,2014,51228,1,Petrol,362000,496599
2939,KIASONET,KIA,Bangalore,2020,20555,1,Petrol,715000,1254399
2940,MARUTICELERIO,MARUTI,Bangalore,2015,60581,1,Petrol,362000,449099
2941,MARUTIIGNIS,MARUTI,Bangalore,2022,319,1,Petrol,948000,620699
2942,MARUTISWIFT,MARUTI,Bangalore,2017,12859,1,Petrol,740000,697099
2943,MARUTISWIFT,MARUTI,Bangalore,2015,92960,2,Diesel,204000,560099
2944,MARUTISWIFT,MARUTI,Bangalore,2014,40504,1,Petrol,1040000,597999
2945,MARUTIWAGON R 1.0,MARUTI,Bangalore,2011,80941,1,Petrol,507000,291499
2946,MARUTIWAGON R 1.0,MARUTI,Bangalore,2012,67318,3,Petrol,362000,292699
2947,HYUNDAIEON,HYUNDAI,Bangalore,2015,36724,1,Petrol,140000,294399
2948,MAHINDRAXUV 3OO,MAHINDRA,Bangalore,2019,32137,1,Diesel,715000,1104099
2949,MARUTIALTO K10,MARUTI,Bangalore,2013,62441,2,Petrol,362000,277299
2950,MAHINDRAXUV500,MAHINDRA,Bangalore,2015,77205,1,Diesel,204000,1086399
2951,HYUNDAIELITE I20,HYUNDAI,Bangalore,2020,30960,1,Petrol,507000,838699
2952,KIASELTOS,KIA,Bangalore,2020,12464,1,Petrol,948000,1707699
2953,MARUTISWIFT,MARUTI,Bangalore,2015,41053,1,Petrol,362000,524699
2954,MARUTISWIFT DZIRE,MARUTI,Bangalore,2014,69716,1,Petrol,1040000,512499
2955,FORDECOSPORT,FORD,Bangalore,2015,50037,2,Petrol,362000,715599
2956,MARUTIBALENO,MARUTI,Bangalore,2018,11467,1,Petrol,740000,731399
2957,HYUNDAIEON,HYUNDAI,Bangalore,2014,67334,1,Petrol,362000,286999
2958,MARUTIALTO K10,MARUTI,Bangalore,2012,43282,1,Petrol,362000,293599
2959,HYUNDAIELITE I20,HYUNDAI,Bangalore,2014,30747,1,Petrol,1040000,582899
2960,HYUNDAICRETA,HYUNDAI,Bangalore,2021,8087,1,Petrol,948000,1744799
2961,HYUNDAIVERNA,HYUNDAI,Bangalore,2015,21560,1,Petrol,362000,713399
2962,HYUNDAIEON,HYUNDAI,Bangalore,2018,13842,2,Petrol,338000,416599
2963,MARUTISWIFT DZIRE,MARUTI,Bangalore,2013,86892,1,Diesel,362000,560599
2964,HONDAAMAZE,HONDA,Bangalore,2018,10392,1,Petrol,338000,816899
2965,MARUTISWIFT,MARUTI,Bangalore,2011,90834,2,Diesel,507000,369299
2966,MARUTINEW  WAGON-R,MARUTI,Bangalore,2019,28450,2,Petrol,734000,535399
2967,HYUNDAIELITE I20,HYUNDAI,Bangalore,2016,27789,1,Petrol,1040000,633399
2968,HYUNDAIEON,HYUNDAI,Bangalore,2012,96449,3,Petrol,362000,263499
2969,MGHECTOR,MG,Bangalore,2021,10284,1,Petrol,507000,1796499
2970,MARUTISWIFT,MARUTI,Bangalore,2017,84738,2,Diesel,204000,589399
2971,HONDAJAZZ,HONDA,Bangalore,2015,36582,2,Petrol,362000,631799
2972,MARUTIALTO 800,MARUTI,Bangalore,2013,33700,1,Petrol,1040000,314099
2973,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2014,34871,1,Petrol,362000,460699
2974,RENAULTTRIBER,RENAULT,Bangalore,2019,22123,1,Petrol,734000,719299
2975,MARUTIALTO 800,MARUTI,Bangalore,2013,30618,1,Petrol,1040000,325299
2976,RENAULTTRIBER,RENAULT,Bangalore,2020,21586,1,Petrol,507000,688699
2977,MARUTISWIFT,MARUTI,Bangalore,2018,52203,2,Petrol,507000,702199
2978,TATATIAGO,TATA,Bangalore,2016,52529,1,Petrol,362000,497099
2979,MARUTISWIFT,MARUTI,Bangalore,2013,69201,2,Diesel,362000,486799
2980,MARUTIRITZ,MARUTI,Bangalore,2015,57109,1,Petrol,520000,468499
2981,HYUNDAIELITE I20,HYUNDAI,Bangalore,2015,32587,2,Petrol,362000,662899
2982,HYUNDAIVERNA,HYUNDAI,Bangalore,2015,23313,1,Petrol,362000,633399
2983,HYUNDAIVERNA,HYUNDAI,Bangalore,2014,68244,2,Diesel,362000,636499
2984,MARUTIALTO 800,MARUTI,Bangalore,2013,70861,2,Petrol,362000,289299
2985,KIASELTOS,KIA,Bangalore,2019,18541,1,Petrol,948000,1593199
2986,MAHINDRAXUV500,MAHINDRA,Bangalore,2017,60108,2,Diesel,630000,1208999
2987,MARUTIDZIRE,MARUTI,Bangalore,2017,81130,2,Diesel,507000,743399
2988,HYUNDAII10,HYUNDAI,Bangalore,2012,96600,1,Petrol,362000,323999
2989,MARUTISWIFT,MARUTI,Bangalore,2015,98094,2,Petrol,204000,534199
2990,MAHINDRAXUV500,MAHINDRA,Bangalore,2018,51299,1,Diesel,630000,1323199
2991,MARUTIWAGON R 1.0,MARUTI,Bangalore,2011,72850,1,Petrol,507000,331899
2992,RENAULTKWID,RENAULT,Bangalore,2019,9448,1,Petrol,734000,546499
2993,HYUNDAICRETA,HYUNDAI,Bangalore,2019,27139,1,Petrol,948000,1409649
2994,MARUTISWIFT,MARUTI,Bangalore,2018,17992,1,Petrol,740000,779799
2995,TATAHARRIER,TATA,Bangalore,2021,26603,1,Diesel,715000,2028299
2996,MARUTIALTO K10,MARUTI,Bangalore,2013,61994,2,Petrol,280000,287699
2997,HYUNDAICRETA,HYUNDAI,Bangalore,2016,44322,2,Petrol,1040000,914099
2998,HYUNDAINEW SANTRO,HYUNDAI,Bangalore,2020,13381,1,Petrol,734000,620699
2999,MARUTIVITARA BREZZA,MARUTI,Bangalore,2016,82895,1,Diesel,204000,866699
3000,TATATIAGO,TATA,Bangalore,2016,97077,1,Petrol,507000,483799
3001,MARUTIWAGON R 1.0,MARUTI,Bangalore,2017,11785,2,Petrol,338000,444699
3002,HONDAJAZZ,HONDA,Bangalore,2010,86713,2,Petrol,507000,328599
3003,HYUNDAICRETA,HYUNDAI,Bangalore,2021,15610,1,Petrol,715000,1721899
3004,MARUTISWIFT,MARUTI,Bangalore,2018,23159,1,Petrol,740000,655999
3005,HYUNDAICRETA,HYUNDAI,Bangalore,2016,78165,2,Diesel,644000,951399
3006,MARUTICELERIO,MARUTI,Bangalore,2016,89986,1,Petrol,204000,460399
3007,HYUNDAINEW SANTRO,HYUNDAI,Bangalore,2019,12126,1,Petrol,734000,581299
3008,MARUTINEW  WAGON-R,MARUTI,Bangalore,2019,33369,2,Petrol,507000,529299
3009,MARUTICELERIO,MARUTI,Bangalore,2016,54290,1,Petrol,362000,520199
3010,HONDACITY,HONDA,Bangalore,2016,85026,2,Petrol,204000,657699
3011,HYUNDAICRETA,HYUNDAI,Bangalore,2018,19535,1,Petrol,740000,1035199
3012,MARUTIVITARA BREZZA,MARUTI,Bangalore,2018,38592,2,Diesel,740000,1020099
3013,MARUTIALTO 800,MARUTI,Bangalore,2013,58238,2,Petrol,362000,287899
3014,HYUNDAICRETA,HYUNDAI,Bangalore,2018,24880,1,Petrol,740000,1278399
3015,MARUTIALTO 800,MARUTI,Bangalore,2017,15568,2,Petrol,740000,321999
3016,DATSUNREDI GO,DATSUN,Bangalore,2016,59857,1,Petrol,280000,277699
3017,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2015,16975,1,Petrol,1040000,564599
3018,MARUTISWIFT,MARUTI,Bangalore,2017,64300,1,Petrol,507000,599799
3019,MARUTICELERIO,MARUTI,Bangalore,2015,41383,2,Petrol + CNG,362000,425899
3020,HYUNDAINEW SANTRO,HYUNDAI,Bangalore,2020,7399,1,Petrol,948000,540299
3021,FORDECOSPORT,FORD,Bangalore,2019,30038,1,Diesel,734000,1115199
3022,HYUNDAIGRAND I10 NIOS,HYUNDAI,Bangalore,2020,7680,1,Petrol,948000,712299
3023,MAHINDRAXUV500,MAHINDRA,Bangalore,2018,89232,1,Diesel,715000,1518099
3024,HONDAAMAZE,HONDA,Bangalore,2015,36370,2,Petrol,362000,466999
3025,MARUTISWIFT,MARUTI,Bangalore,2017,63007,1,Diesel,630000,736999
3026,HONDABRIO,HONDA,Bangalore,2017,30699,1,Petrol,362000,550899
3027,HYUNDAIVERNA,HYUNDAI,Bangalore,2017,33094,2,Petrol,362000,716299
3028,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2016,18219,1,Petrol,1040000,540499
3029,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2018,9631,1,Petrol,740000,657399
3030,MARUTICELERIO,MARUTI,Bangalore,2019,51798,1,Petrol,507000,519699
3031,HYUNDAICRETA,HYUNDAI,Bangalore,2016,65034,2,Diesel,644000,1105499
3032,MARUTIWAGON R 1.0,MARUTI,Bangalore,2010,73357,2,Petrol,507000,311799
3033,MARUTICIAZ,MARUTI,Bangalore,2015,86697,1,Diesel,204000,690899
3034,MGHECTOR,MG,Bangalore,2021,7258,1,Petrol,948000,1789099
3035,RENAULTDUSTER,RENAULT,Bangalore,2016,56140,1,Diesel,362000,878199
3036,HYUNDAIELITE I20,HYUNDAI,Bangalore,2019,16188,1,Petrol,948000,856799
3037,MARUTISWIFT,MARUTI,Bangalore,2018,59220,1,Petrol,507000,692399
3038,MARUTIALTO K10,MARUTI,Bangalore,2013,57782,3,Petrol,362000,252899
3039,TATANEXON,TATA,Bangalore,2019,37159,1,Petrol,507000,773399
3040,RENAULTDUSTER,RENAULT,Bangalore,2019,49101,1,Diesel,507000,962299
3041,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2016,18718,3,Petrol,362000,496099
3042,HONDAJAZZ,HONDA,Bangalore,2019,6724,1,Petrol,948000,962699
3043,HYUNDAIELITE I20,HYUNDAI,Bangalore,2015,29905,1,Petrol,362000,676199
3044,HYUNDAIEON,HYUNDAI,Bangalore,2018,13890,2,Petrol,338000,402499
3045,TOYOTAGLANZA,TOYOTA,Bangalore,2021,4993,1,Petrol,734000,913499
3046,RENAULTDUSTER,RENAULT,Bangalore,2016,53436,1,Diesel,362000,827899
3047,MARUTISWIFT,MARUTI,Bangalore,2017,61408,1,Petrol,507000,645499
3048,RENAULTDUSTER,RENAULT,Bangalore,2018,13448,3,Petrol,338000,907099
3049,MARUTIWAGON R 1.0,MARUTI,Bangalore,2018,24077,2,Petrol,338000,477099
3050,HYUNDAIEON,HYUNDAI,Bangalore,2014,56153,2,Petrol,280000,348899
3051,KIASELTOS,KIA,Bangalore,2019,19414,1,Petrol,948000,1838349
3052,HYUNDAIGRAND I10 NIOS,HYUNDAI,Bangalore,2019,27194,1,Petrol,734000,723999
3053,HONDAJAZZ,HONDA,Bangalore,2015,26129,2,Petrol,362000,567699
3054,MARUTIBALENO,MARUTI,Bangalore,2019,31323,1,Diesel,507000,852899
3055,MARUTIALTO K10,MARUTI,Bangalore,2014,23981,1,Petrol,362000,316599
3056,HYUNDAIEON,HYUNDAI,Bangalore,2016,24885,1,Petrol,280000,335999
3057,MARUTIEECO,MARUTI,Bangalore,2018,19291,1,Petrol,338000,487399
3058,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2014,37959,1,Petrol,362000,509399
3059,MARUTISWIFT,MARUTI,Bangalore,2018,59830,1,Petrol,507000,689199
3060,HYUNDAIVERNA,HYUNDAI,Bangalore,2014,93865,1,Diesel,204000,662399
3061,MARUTICELERIO,MARUTI,Bangalore,2019,62555,1,Petrol,507000,522899
3062,MARUTICELERIO,MARUTI,Bangalore,2015,19801,1,Petrol,520000,458649
3063,HONDACITY,HONDA,Bangalore,2015,58095,1,Petrol,362000,661299
3064,HYUNDAICRETA,HYUNDAI,Bangalore,2018,21426,2,Petrol,740000,1214399
3065,FORDECOSPORT,FORD,Bangalore,2021,9268,1,Petrol,734000,1188199
3066,JEEPCOMPASS,JEEP,Bangalore,2018,13092,1,Diesel,338000,1598299
3067,HYUNDAIVERNA,HYUNDAI,Bangalore,2018,16526,1,Petrol,740000,1217899
3068,MARUTISWIFT,MARUTI,Bangalore,2018,49720,1,Petrol,630000,680299
3069,TOYOTACOROLLA ALTIS,TOYOTA,Bangalore,2015,45053,2,Petrol,362000,963799
3070,MARUTIWAGON R 1.0,MARUTI,Bangalore,2015,37740,1,Petrol,362000,401499
3071,MARUTIBALENO,MARUTI,Bangalore,2020,14051,2,Petrol,948000,759299
3072,MARUTIALTO K10,MARUTI,Bangalore,2018,12343,1,Petrol,338000,416599
3073,HONDACITY,HONDA,Bangalore,2020,19424,1,Petrol,948000,1373999
3074,TATATIAGO,TATA,Bangalore,2018,29576,1,Petrol,740000,522799
3075,FORDECOSPORT,FORD,Bangalore,2019,34293,1,Diesel,740000,979099
3076,TATATIAGO,TATA,Bangalore,2020,67113,1,Petrol,507000,648999
3077,HYUNDAINEW SANTRO,HYUNDAI,Bangalore,2019,33946,2,Petrol,507000,500899
3078,MARUTIVITARA BREZZA,MARUTI,Bangalore,2016,67977,3,Diesel,644000,790099
3079,HYUNDAII10,HYUNDAI,Bangalore,2016,25752,1,Petrol,362000,447699
3080,KIASONET,KIA,Bangalore,2020,38471,1,Petrol,715000,960799
3081,HYUNDAICRETA,HYUNDAI,Bangalore,2016,72825,1,Petrol,204000,932599
3082,HONDAAMAZE,HONDA,Bangalore,2015,90826,1,Petrol,204000,432399
3083,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2017,19347,2,Petrol,338000,491149
3084,RENAULTDUSTER,RENAULT,Bangalore,2018,22036,2,Petrol,740000,859299
3085,HYUNDAINEW SANTRO,HYUNDAI,Bangalore,2019,47871,2,Petrol,507000,491799
3086,HYUNDAICRETA,HYUNDAI,Bangalore,2019,12651,2,Petrol,734000,1321499
3087,RENAULTDUSTER,RENAULT,Bangalore,2015,77951,3,Diesel,204000,641999
3088,HYUNDAINEW SANTRO,HYUNDAI,Bangalore,2019,30676,1,Petrol,507000,491299
3089,MARUTIALTO 800,MARUTI,Bangalore,2013,26846,1,Petrol,1040000,312699
3090,TATATIAGO,TATA,Bangalore,2020,44484,1,Petrol,507000,678249
3091,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2017,38231,2,Petrol,338000,517599
3092,HYUNDAICRETA,HYUNDAI,Bangalore,2015,67310,1,Petrol,362000,930099
3093,MARUTIWAGON R 1.0,MARUTI,Bangalore,2012,58422,1,Petrol,362000,365199
3094,MARUTISWIFT,MARUTI,Bangalore,2018,43548,1,Petrol,507000,698999
3095,HONDAWR-V,HONDA,Bangalore,2017,21736,2,Diesel,740000,844799
3096,MARUTIWAGON R 1.0,MARUTI,Bangalore,2010,41952,1,Petrol,507000,335999
3097,TATATIAGO,TATA,Bangalore,2018,52536,1,Petrol,507000,492599
3098,MARUTICELERIO,MARUTI,Bangalore,2018,78892,2,Petrol,507000,469699
3099,HYUNDAII10,HYUNDAI,Bangalore,2012,49058,2,Petrol,362000,344699
3100,DATSUNREDI GO,DATSUN,Bangalore,2016,23342,2,Petrol,362000,274399
3101,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2019,10400,1,Petrol,734000,686799
3102,KIASELTOS,KIA,Bangalore,2019,20453,1,Petrol,948000,1915899
3103,FORDECOSPORT,FORD,Bangalore,2019,43638,1,Diesel,715000,965699
3104,HYUNDAII10,HYUNDAI,Bangalore,2013,47050,1,Petrol,362000,373299
3105,HYUNDAIGRAND I10 NIOS,HYUNDAI,Bangalore,2020,26118,1,Petrol,734000,731199
3106,RENAULTKWID,RENAULT,Bangalore,2019,19927,1,Petrol,734000,443499
3107,MAHINDRAMARAZZO,MAHINDRA,Bangalore,2021,9542,1,Diesel,948000,1463299
3108,MARUTIALTO K10,MARUTI,Bangalore,2014,45938,2,Petrol,362000,285899
3109,FORDECOSPORT,FORD,Bangalore,2016,84947,1,Diesel,204000,701599
3110,FORDECOSPORT,FORD,Bangalore,2016,90981,1,Diesel,507000,693599
3111,HONDAJAZZ,HONDA,Bangalore,2019,19303,1,Petrol,734000,774699
3112,TATATIAGO,TATA,Bangalore,2018,32258,1,Petrol,740000,525899
3113,HONDACITY,HONDA,Bangalore,2014,23046,1,Petrol,362000,651799
3114,HONDABRIO,HONDA,Bangalore,2014,49255,2,Petrol,362000,411199
3115,MARUTISWIFT,MARUTI,Bangalore,2018,35869,1,Petrol,338000,730499
3116,MARUTIALTO 800,MARUTI,Bangalore,2016,98838,1,Petrol,507000,319799
3117,RENAULTKWID,RENAULT,Bangalore,2016,50715,1,Petrol,280000,393199
3118,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2014,51767,1,Petrol,362000,484399
3119,HONDACITY,HONDA,Bangalore,2019,59423,1,Petrol,507000,905599
3120,HYUNDAIGRAND I10,HYUNDAI,Bangalore,2015,48412,3,Diesel,362000,511299
3121,HYUNDAIELITE I20,HYUNDAI,Bangalore,2015,71410,2,Diesel,204000,692899
